full_name,hrr,batting_position,team_id,team_name,game_id
Lawrence Butler,2.0,100,133,Athletics,778395
Brent Rooker,0.0,200,133,Athletics,778395
Max Schuemann,0.0,301,133,Athletics,778395
Gio Urshela,7.0,800,133,Athletics,778395
Max Muncy,2.0,900,133,Athletics,778395
Tyler Soderstrom,2.0,300,133,Athletics,778395
Miguel Andujar,5.0,600,133,Athletics,778395
Shea Langeliers,0.0,400,133,Athletics,778395
JJ Bleday,8.0,500,133,Athletics,778395
Jacob Wilson,5.0,700,133,Athletics,778395
Martín Maldonado,4.0,900,135,San Diego Padres,778395
Jose Iglesias,0.0,700,135,San Diego Padres,778395
Yuli Gurriel,3.0,500,135,San Diego Padres,778395
Jason Heyward,0.0,101,135,San Diego Padres,778395
Oscar Gonzalez,0.0,601,135,San Diego Padres,778395
Brandon Lockridge,1.0,800,135,San Diego Padres,778395
Gavin Sheets,0.0,602,135,San Diego Padres,778395
Manny Machado,3.0,300,135,San Diego Padres,778395
Fernando Tatis Jr.,0.0,100,135,San Diego Padres,778395
Xander Bogaerts,4.0,400,135,San Diego Padres,778395
Jake Cronenworth,0.0,600,135,San Diego Padres,778395
Luis Arraez,3.0,200,135,San Diego Padres,778395
Lawrence Butler,0.0,100,133,Athletics,778381
Luis Urías,1.0,800,133,Athletics,778381
Brent Rooker,1.0,200,133,Athletics,778381
Max Schuemann,0.0,802,133,Athletics,778381
Seth Brown,0.0,801,133,Athletics,778381
Max Muncy,0.0,900,133,Athletics,778381
Tyler Soderstrom,0.0,300,133,Athletics,778381
Miguel Andujar,0.0,600,133,Athletics,778381
Shea Langeliers,1.0,400,133,Athletics,778381
JJ Bleday,0.0,500,133,Athletics,778381
Jacob Wilson,1.0,700,133,Athletics,778381
Martín Maldonado,1.0,900,135,San Diego Padres,778381
Jose Iglesias,1.0,600,135,San Diego Padres,778381
Yuli Gurriel,0.0,401,135,San Diego Padres,778381
Jason Heyward,2.0,700,135,San Diego Padres,778381
Oscar Gonzalez,3.0,500,135,San Diego Padres,778381
Brandon Lockridge,1.0,800,135,San Diego Padres,778381
Gavin Sheets,1.0,400,135,San Diego Padres,778381
Manny Machado,2.0,300,135,San Diego Padres,778381
Xander Bogaerts,5.0,200,135,San Diego Padres,778381
Luis Arraez,0.0,100,135,San Diego Padres,778381
Lawrence Butler,1.0,100,133,Athletics,778358
Brent Rooker,1.0,200,133,Athletics,778358
Max Schuemann,0.0,401,133,Athletics,778358
Gio Urshela,1.0,800,133,Athletics,778358
Max Muncy,1.0,900,133,Athletics,778358
Tyler Soderstrom,1.0,300,133,Athletics,778358
Miguel Andujar,6.0,700,133,Athletics,778358
Shea Langeliers,5.0,400,133,Athletics,778358
JJ Bleday,2.0,500,133,Athletics,778358
Jacob Wilson,3.0,600,133,Athletics,778358
Luis Torrens,2.0,800,121,New York Mets,778358
Jose Siri,1.0,900,121,New York Mets,778358
Mark Vientos,0.0,600,121,New York Mets,778358
Luisangel Acuña,3.0,700,121,New York Mets,778358
Pete Alonso,7.0,300,121,New York Mets,778358
Starling Marte,3.0,400,121,New York Mets,778358
Francisco Lindor,1.0,100,121,New York Mets,778358
Brandon Nimmo,3.0,500,121,New York Mets,778358
Juan Soto,3.0,200,121,New York Mets,778358
Lawrence Butler,0.0,201,133,Athletics,778346
Luis Urías,1.0,700,133,Athletics,778346
Brent Rooker,1.0,200,133,Athletics,778346
Jhonny Pereda,2.0,900,133,Athletics,778346
Max Muncy,2.0,800,133,Athletics,778346
Tyler Soderstrom,3.0,300,133,Athletics,778346
Miguel Andujar,1.0,500,133,Athletics,778346
Shea Langeliers,1.0,400,133,Athletics,778346
JJ Bleday,2.0,600,133,Athletics,778346
Jacob Wilson,2.0,100,133,Athletics,778346
Luis Torrens,0.0,902,121,New York Mets,778346
Jose Siri,0.0,800,121,New York Mets,778346
Tyrone Taylor,1.0,801,121,New York Mets,778346
Mark Vientos,1.0,600,121,New York Mets,778346
Jesse Winker,0.0,901,121,New York Mets,778346
Brett Baty,1.0,700,121,New York Mets,778346
Pete Alonso,0.0,300,121,New York Mets,778346
Starling Marte,0.0,500,121,New York Mets,778346
Francisco Lindor,1.0,100,121,New York Mets,778346
Brandon Nimmo,3.0,400,121,New York Mets,778346
Hayden Senger,1.0,900,121,New York Mets,778346
Juan Soto,0.0,200,121,New York Mets,778346
Lawrence Butler,3.0,100,133,Athletics,778333
Brent Rooker,0.0,200,133,Athletics,778333
Seth Brown,1.0,700,133,Athletics,778333
Gio Urshela,0.0,800,133,Athletics,778333
Max Muncy,1.0,900,133,Athletics,778333
Tyler Soderstrom,0.0,300,133,Athletics,778333
Miguel Andujar,0.0,500,133,Athletics,778333
Shea Langeliers,0.0,400,133,Athletics,778333
Jacob Wilson,0.0,600,133,Athletics,778333
Luis Torrens,6.0,600,121,New York Mets,778333
Tyrone Taylor,2.0,800,121,New York Mets,778333
Mark Vientos,4.0,500,121,New York Mets,778333
Luisangel Acuña,2.0,900,121,New York Mets,778333
Brett Baty,3.0,700,121,New York Mets,778333
Pete Alonso,1.0,300,121,New York Mets,778333
Francisco Lindor,4.0,100,121,New York Mets,778333
Brandon Nimmo,3.0,400,121,New York Mets,778333
Juan Soto,0.0,200,121,New York Mets,778333
Lenyn Sosa,3.0,300,145,Chicago White Sox,778309
Greg Jones,0.0,101,145,Chicago White Sox,778309
Nick Maton,0.0,801,145,Chicago White Sox,778309
Jacob Amaya,0.0,800,145,Chicago White Sox,778309
Matt Thaiss,1.0,900,145,Chicago White Sox,778309
Andrew Vaughn,5.0,400,145,Chicago White Sox,778309
Chase Meidroth,0.0,500,145,Chicago White Sox,778309
Joshua Palacios,1.0,600,145,Chicago White Sox,778309
Michael A. Taylor,0.0,700,145,Chicago White Sox,778309
Luis Robert Jr.,0.0,200,145,Chicago White Sox,778309
Miguel Vargas,2.0,100,145,Chicago White Sox,778309
Lawrence Butler,5.0,100,133,Athletics,778309
Brent Rooker,5.0,200,133,Athletics,778309
Gio Urshela,2.0,800,133,Athletics,778309
Max Muncy,2.0,900,133,Athletics,778309
Tyler Soderstrom,12.0,300,133,Athletics,778309
Miguel Andujar,1.0,600,133,Athletics,778309
Shea Langeliers,7.0,400,133,Athletics,778309
JJ Bleday,1.0,500,133,Athletics,778309
Jacob Wilson,2.0,700,133,Athletics,778309
Lenyn Sosa,2.0,800,145,Chicago White Sox,778294
Greg Jones,0.0,901,145,Chicago White Sox,778294
Nick Maton,0.0,200,145,Chicago White Sox,778294
Omar Narváez,0.0,900,145,Chicago White Sox,778294
Matt Thaiss,0.0,502,145,Chicago White Sox,778294
Andrew Vaughn,1.0,400,145,Chicago White Sox,778294
Brooks Baldwin,3.0,700,145,Chicago White Sox,778294
Chase Meidroth,1.0,600,145,Chicago White Sox,778294
Joshua Palacios,1.0,500,145,Chicago White Sox,778294
Michael A. Taylor,1.0,501,145,Chicago White Sox,778294
Luis Robert Jr.,0.0,300,145,Chicago White Sox,778294
Miguel Vargas,0.0,100,145,Chicago White Sox,778294
Lawrence Butler,1.0,100,133,Athletics,778294
Luis Urías,0.0,700,133,Athletics,778294
Brent Rooker,1.0,200,133,Athletics,778294
Gio Urshela,3.0,800,133,Athletics,778294
Max Muncy,0.0,900,133,Athletics,778294
Tyler Soderstrom,2.0,300,133,Athletics,778294
Miguel Andujar,2.0,600,133,Athletics,778294
Shea Langeliers,0.0,400,133,Athletics,778294
JJ Bleday,5.0,500,133,Athletics,778294
Lenyn Sosa,2.0,500,145,Chicago White Sox,778283
Jacob Amaya,0.0,900,145,Chicago White Sox,778283
Andrew Vaughn,1.0,300,145,Chicago White Sox,778283
Brooks Baldwin,0.0,800,145,Chicago White Sox,778283
Chase Meidroth,0.0,100,145,Chicago White Sox,778283
Edgar Quero,0.0,700,145,Chicago White Sox,778283
Andrew Benintendi,0.0,901,145,Chicago White Sox,778283
Joshua Palacios,0.0,601,145,Chicago White Sox,778283
Michael A. Taylor,0.0,600,145,Chicago White Sox,778283
Luis Robert Jr.,0.0,200,145,Chicago White Sox,778283
Miguel Vargas,1.0,400,145,Chicago White Sox,778283
Lawrence Butler,5.0,100,133,Athletics,778283
Brent Rooker,7.0,400,133,Athletics,778283
Max Schuemann,3.0,900,133,Athletics,778283
Jhonny Pereda,2.0,700,133,Athletics,778283
Seth Brown,0.0,600,133,Athletics,778283
